v_(t),v_(t-1),P(t),I(t)
70.8,65.4,1,1
63.8,56.5,1,1
37,32,-1,-1
51.9,47,1,0
55.2,43.3,1,0
36,38.8,-1,-1
36.1,41.5,-1,-1
43,45.2,-1,-1
59.8,55.6,1,1
36.9,39.5,-1,-1
40.1,38.4,-1,-1
46.3,42.7,1,-1
30.9,31.9,-1,-1
24,26.9,-1,-1
49.6,43.1,1,-1
45.4,42.2,1,-1
55.3,47.9,1,1
40.4,38.2,-1,-1
36.3,32.7,-1,-1
32.2,37.6,-1,-1
71.3,60.4,1,1
35,38.3,-1,-1
63.4,62,1,1
48.1,46.8,1,0
60.7,58,1,0
46.2,44.5,1,-1
43.8,41.6,1,0
51.9,46.1,1,1
68.3,55,1,1
55.2,49.9,1,1
66.6,57,1,1
48.5,49.1,1,1
44.7,46.3,1,1
38.3,40.5,-1,-1
69,57.1,1,1
53.7,49.1,1,1
55.2,49.2,1,1
35.4,29.9,-1,-1
43.4,36.7,-1,0
42.5,38.1,-1,0
54.2,50.6,1,1
53.1,47,1,-1
39.2,42.4,-1,-1
21.3,19.9,-1,-1
48.1,43.3,1,-1
62.9,57.6,1,1
34.1,28,-1,-1
45.2,44.4,1,0
46.4,45.1,1,-1
43.2,41.7,1,-1
56.9,52.4,1,0
63.1,46.4,1,0
67.9,56.4,1,1
31.8,28.5,-1,0
25.3,23.1,-1,-1
35.4,36.8,-1,-1
39.7,40.8,-1,-1
39.1,42.7,-1,-1
37.4,36.9,-1,0
56.5,52.1,1,1
39,35,-1,0
34.7,32.9,-1,-1
35.6,31.8,-1,-1
59.6,54.3,1,1
45.5,42.8,1,-1
54.2,50.3,1,1
62.2,55.6,1,1
54.9,42.2,1,-1
65.8,54.1,1,1
60.5,51.9,1,1
40.7,41.6,-1,-1
22.4,21.8,-1,-1
63.5,54,1,1
54.4,49.4,1,1
34.3,34.4,-1,-1
49.6,46.9,1,0
34.7,28.6,-1,-1
34.8,33.9,-1,-1
48.8,48,1,1
62.5,61.1,1,1
45.9,45.4,1,-1
28.1,31.6,-1,-1
48.5,40.5,1,-1
40.1,39.6,-1,-1
20.5,20.9,-1,0
50.3,45.7,1,-1
48.1,46.1,1,-1
60.3,57.9,1,1
56.2,54.9,1,1
23.6,31,-1,-1
38.6,24.2,-1,0
37.6,31.4,-1,-1
45.3,35.8,1,-1
47.9,44.7,1,-1
51.2,49.9,1,0
33.5,33,-1,0
31,32.3,-1,0
63.9,46.6,1,1
63.4,62,1,0
58.8,49.6,1,1
25.1,24.2,-1,-1
52.8,47.7,1,1
63.3,62.7,1,1
52.5,48.1,1,0
58.7,49.2,1,1
59.1,53.6,1,1
65.9,56.9,1,1
62.8,58.2,1,1
53.2,47.2,1,1
51.2,46.9,1,1
50.5,47.7,1,1
36.4,31.1,-1,-1
29.1,30.9,-1,-1
60.6,51.6,1,1
64.5,61.5,1,1
54.2,49,1,1
46.7,46.8,1,0
61.4,54.8,1,1
48.8,47.4,1,1
35.7,44.1,-1,0
48.4,48.9,1,1
63.3,52.3,1,1
58.7,48.7,1,1
56.5,50.8,1,1
55.5,48.4,1,1
53.8,43.5,1,-1
47.2,38.8,1,-1
60.8,51.5,1,1
50.8,51.3,1,1
30.9,31.6,-1,-1
62.8,58.7,1,1
58.8,56.1,1,1
55.8,52.8,1,0
73,69.8,1,1
52.3,48.4,1,1
50.5,46.5,1,1
35.7,34.1,-1,-1
58.6,54.7,1,0
64.5,58.1,1,1
37.8,38.1,-1,-1
53.1,50.3,1,1
27.9,28.4,-1,0
40.6,36.5,-1,-1
50.7,46.8,1,-1
52.3,45.3,1,-1
62.2,49.1,1,1
60.3,54.5,1,0
27.5,27.5,-1,-1
47.9,45.9,1,-1
60.4,61,1,1
66.3,61,1,1
59.7,48.7,1,1
63.5,55.4,1,1
58.6,39.5,1,1
28.2,33.1,-1,-1
39.4,36.5,-1,-1
47.3,45,1,-1
24.9,23.2,-1,-1
63.8,49.6,1,1
41,37.2,-1,-1
27.9,26.2,-1,-1
40.9,36.6,-1,0
45.5,44.3,1,-1
42.3,44.4,-1,-1
62.2,54.4,1,1
43.8,43.7,-1,-1
52.6,51,1,1
46.7,38.2,1,0
36.3,37.4,-1,-1
31.8,28.5,-1,-1
37.2,38.8,-1,-1
41.2,42.1,-1,-1
51.7,40.3,1,-1
42.7,34.8,-1,-1
48.3,44.2,1,-1
50.8,48.1,1,1
49.3,41.7,1,-1
30.1,29.6,-1,-1
